model,cv_acc_mean,cv_acc_std,train_acc_mean,cv_f1_mean,cv_f1_std,train_f1_mean,cv_recall_mean,cv_recall_std,train_recall_mean,cv_precision_mean,cv_precision_std,train_precision_mean,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_TP,val_FP,val_FN,val_TN,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_TP,test_FP,test_FN,test_TN
A_word_lr,0.9397,0.0186,0.9952,0.9415,0.0177,0.9953,0.9515,0.0204,0.9946,0.9325,0.0299,0.9960,0.9385,0.9143,0.9697,0.9412,0.9905,32,3,1,29,0.8611,0.8571,0.8727,0.8649,0.9592,48,8,7,45
B_word_svm,0.9452,0.0229,1.0000,0.9471,0.0217,1.0000,0.9569,0.0134,1.0000,0.9382,0.0383,1.0000,0.9538,0.9167,1.0000,0.9565,0.9962,33,3,0,29,0.9074,0.9091,0.9091,0.9091,0.9780,50,5,5,48
C_char_svm,0.9342,0.0266,1.0000,0.9360,0.0251,1.0000,0.9357,0.0267,1.0000,0.9379,0.0459,1.0000,0.9846,0.9706,1.0000,0.9851,0.9953,33,1,0,31,0.9259,0.9273,0.9273,0.9273,0.9818,51,4,4,49
B_word_svm_C2,0.9452,0.0194,1.0000,0.9473,0.0182,1.0000,0.9623,0.0134,1.0000,0.9338,0.0379,1.0000,0.9538,0.9167,1.0000,0.9565,0.9972,33,3,0,29,0.8981,0.9074,0.8909,0.8991,0.9787,49,5,6,48
B_word_svm_tri,0.9452,0.0229,1.0000,0.9471,0.0217,1.0000,0.9569,0.0134,1.0000,0.9382,0.0383,1.0000,0.9538,0.9167,1.0000,0.9565,0.9972,33,3,0,29,0.8981,0.9074,0.8909,0.8991,0.9770,49,5,6,48
B_word_svm_C05,0.9425,0.0219,1.0000,0.9445,0.0207,1.0000,0.9569,0.0134,1.0000,0.9333,0.0384,1.0000,0.9538,0.9167,1.0000,0.9565,0.9981,33,3,0,29,0.8796,0.8889,0.8727,0.8807,0.9753,48,6,7,47
B_word_svm_C03,0.9452,0.0229,1.0000,0.9471,0.0217,1.0000,0.9569,0.0134,1.0000,0.9382,0.0383,1.0000,0.9538,0.9167,1.0000,0.9565,0.9953,33,3,0,29,0.8704,0.8727,0.8727,0.8727,0.9712,48,7,7,46
C_char_svm_C05,0.9425,0.0219,0.9979,0.9441,0.0205,0.9980,0.9462,0.0171,1.0000,0.9433,0.0422,0.9960,0.9846,0.9706,1.0000,0.9851,0.9924,33,1,0,31,0.9074,0.8947,0.9273,0.9107,0.9767,51,6,4,47
C_char_svm_C2,0.9315,0.0300,1.0000,0.9330,0.0290,1.0000,0.9303,0.0318,1.0000,0.9373,0.0464,1.0000,0.9846,0.9706,1.0000,0.9851,0.9962,33,1,0,31,0.9352,0.9615,0.9091,0.9346,0.9842,50,2,5,51
B_word_svm_nocw,0.9452,0.0229,1.0000,0.9471,0.0217,1.0000,0.9569,0.0134,1.0000,0.9382,0.0383,1.0000,0.9538,0.9167,1.0000,0.9565,0.9962,33,3,0,29,0.8981,0.8929,0.9091,0.9009,0.9780,50,6,5,47
D_combined_svm,0.9425,0.0219,1.0000,0.9442,0.0199,1.0000,0.9464,0.0164,1.0000,0.9440,0.0474,1.0000,0.9692,0.9429,1.0000,0.9706,0.9981,33,2,0,30,0.9259,0.9434,0.9091,0.9259,0.9856,50,3,5,50
